id,ra,dn,mag,con
32263,6.752481,-16.716116,-1.44,CMa
30365,6.399195,-52.69566,-0.62,Car
69451,14.26103,19.18241,-0.05,Boo
71456,14.660765,-60.833976,-0.01,Cen
90979,18.61564,38.783692,0.03,Lyr
24549,5.27815,45.997991,0.08,Aur
24378,5.242298,-8.20164,0.18,Ori
37173,7.655033,5.224993,0.4,CMi
7574,1.628556,-57.236757,0.45,Eri
27919,5.919529,7.407063,0.45,Ori
68483,14.063729,-60.373039,0.61,Cen
97338,19.846388,8.868322,0.76,Aql
60530,12.443311,-63.099092,0.77,Cru
21368,4.598677,16.509301,0.87,Tau
118360,5.277926,46.000842,0.96,Aur
65269,13.419883,-11.161322,0.98,Vir
80519,16.490128,-26.432002,1.06,Sco
37718,7.755277,28.026199,1.16,Gem
113008,22.960838,-29.622236,1.17,PsA
62239,12.795359,-59.688764,1.25,Cru
101767,20.690532,45.280338,1.25,Cyg
71453,14.660346,-60.8383,1.35,Cen
49528,10.139532,11.967207,1.36,Leo
33492,6.977097,-28.972084,1.5,CMa
36744,7.576634,31.888276,1.58,Gem
60893,12.519429,-57.113212,1.59,Cru
85665,17.560145,-37.103821,1.62,Sco
25273,5.418851,6.349702,1.64,Ori
25364,5.438198,28.60745,1.65,Tau
45106,9.220041,-69.717208,1.67,Car
26246,5.603559,-1.20192,1.69,Ori
108922,22.137209,-46.960975,1.73,Gru
26662,5.679313,-1.942572,1.74,Ori
39840,8.158876,-47.336588,1.75,Vel
62757,12.900472,55.959821,1.76,UMa
15824,3.405378,49.86118,1.79,Per
89906,18.402868,-34.384616,1.79,Sgr
53905,11.062155,61.751033,1.81,UMa
34354,7.139857,-26.3932,1.83,CMa
67088,13.792354,49.313265,1.85,UMa
40921,8.375236,-59.509483,1.86,Car
85965,17.62198,-42.997824,1.86,Sco
28288,5.992149,44.947433,1.9,Aur
82022,16.811077,-69.027715,1.91,TrA
31601,6.628528,16.399252,1.93,Gem
42794,8.745059,-54.708821,1.93,Vel
100425,20.427459,-56.73509,1.94,Pav
11734,2.52975,89.264109,1.97,UMi
30251,6.378329,-17.955918,1.98,CMa
46259,9.45979,-8.658603,1.99,Hya
9861,2.119555,23.462423,2.01,Ari
50440,10.332873,19.841489,2.01,Leo
3413,0.72649,-17.986605,2.04,Cet
92564,18.92109,-26.296722,2.05,Sgr
68714,14.111395,-36.369954,2.06,Cen
676,0.139791,29.090432,2.07,And
5436,1.162194,35.620558,2.07,And
27298,5.795941,-9.669605,2.07,Ori
72380,14.845105,74.155505,2.07,UMi
111768,22.711115,-46.884577,2.07,Gru
85769,17.582241,12.560035,2.08,Oph
14540,3.136148,40.955648,2.09,Per
9618,2.064984,42.329725,2.1,And
57459,11.817663,14.57206,2.14,Leo
4417,0.945143,60.71674,2.15,Cas
61739,12.691971,-48.959888,2.2,Cen
39318,8.059737,-40.003148,2.21,Pup
45425,9.284838,-59.275229,2.21,Car
76035,15.578128,26.714693,2.22,CrB
44689,9.133268,-43.432589,2.23,Vel
65173,13.398747,54.925362,2.23,UMa
100128,20.370473,40.256679,2.23,Cyg
3172,0.675116,56.537331,2.24,Cas
87561,17.943437,51.488895,2.24,Dra
25865,5.533445,-0.299092,2.25,Ori
744,0.152887,59.14978,2.28,Cas
66447,13.664796,-53.466394,2.29,Cen
78165,16.005557,-22.62171,2.29,Sco
82144,16.83608,-34.293232,2.29,Sco
71634,14.698823,-47.3882,2.3,Lup
71125,14.591786,-42.157824,2.33,Cen
53754,11.030677,56.382427,2.34,UMa
71879,14.749784,27.074222,2.35,Boo
106972,21.736433,9.875011,2.38,Peg
86403,17.708132,-39.029983,2.39,Sco
2076,0.438056,-42.305981,2.4,Phe
57828,11.897168,53.69476,2.41,UMa
83755,17.172968,-15.72491,2.43,Oph
113521,23.062901,28.082789,2.44,Peg
35806,7.401584,-29.303104,2.45,CMa
104861,21.30963,62.585573,2.45,Cep
45809,9.368562,-55.010668,2.47,Vel
102157,20.770178,33.970256,2.48,Cyg
113603,23.079348,15.205264,2.49,Peg
14100,3.037992,4.089734,2.54,Cet
81130,16.619316,-10.56709,2.54,Oph
67786,13.925667,-47.288375,2.55,Cen
54712,11.235138,20.523717,2.56,Leo
78580,16.09062,-19.805453,2.56,Sco
25920,5.545504,-17.822289,2.58,Lep
59016,12.13931,-50.722425,2.58,Cen
59621,12.263437,-17.541929,2.58,Crv
93213,19.043532,-29.880105,2.6,Sgr
74556,15.283449,-9.382917,2.61,Lib
76835,15.737798,6.425627,2.63,Ser
8884,1.910668,20.808035,2.64,Ari
26569,5.660817,-34.074108,2.65,Col
28309,5.995351,37.212585,2.65,Aur
61166,12.573121,-23.396759,2.65,Crv
6672,1.430216,60.235283,2.66,Cas
67711,13.911411,18.397717,2.68,Boo
73046,14.975537,-43.13396,2.68,Lup
22961,4.949894,33.16609,2.69,Aur
52575,10.779488,-49.420255,2.69,Vel
61392,12.619739,-69.135564,2.69,Mus
85436,17.512732,-37.295811,2.7,Sco
35169,7.285711,-37.09747,2.71,Pup
89653,18.3499,-29.828103,2.72,Sgr
96970,19.770994,10.613261,2.72,Aql
79352,16.239094,-3.694323,2.73,Oph
80089,16.39986,61.514213,2.73,Dra
52268,10.715949,-64.39445,2.74,Car
61748,12.694345,-1.449375,2.74,Vir
26176,5.590551,-5.909901,2.75,Ori
64904,13.343296,-36.712295,2.75,Cen
72396,14.847977,-16.041778,2.75,Lib
86475,17.724543,4.567303,2.76,Oph
23820,5.130829,-5.086446,2.78,Eri
80571,16.503668,21.489613,2.78,Her
84086,17.244127,14.390333,2.78,Her
59565,12.252427,-58.748928,2.79,Cru
85410,17.507213,52.301387,2.79,Dra
76065,15.585681,-41.166757,2.8,Lup
25542,5.470756,-20.759441,2.81,Lep
81444,16.688113,31.602726,2.81,Her
2016,0.427916,-77.254247,2.82,Hyi
81020,16.598043,-28.216016,2.82,Sco
90217,18.466179,-25.4217,2.82,Sgr
1065,0.220598,15.183596,2.83,Peg
39644,8.125737,-24.304324,2.83,Pup
77716,15.919083,-63.430727,2.83,TrA
18201,3.9022,31.883635,2.84,Per
84999,17.421665,-55.529884,2.84,Ara
85530,17.530695,-49.876145,2.84,Ara
17661,3.79141,24.105137,2.85,Tau
63405,13.036278,10.95915,2.85,Vir
107213,21.784011,-16.127286,2.85,Cap
118485,7.576827,31.89052,2.85,Gem
9217,1.979451,-61.569859,2.86,Hyi
96858,19.749574,45.13081,2.86,Cyg
30270,6.382673,22.513586,2.87,Gem
74717,15.315181,-68.679545,2.87,TrA
109784,22.308371,-60.259587,2.87,Tuc
13813,2.971023,-40.304672,2.88,Eri
93846,19.162731,-21.023615,2.88,Sgr
36087,7.452512,8.289315,2.89,CMi
62925,12.933807,38.31838,2.89,CVn
78029,15.980865,-26.114105,2.89,Sco
18485,3.96423,40.010215,2.9,Per
79870,16.353143,-25.592796,2.9,Sco
105936,21.525982,-5.571172,2.9,Aqr
14292,3.079942,53.50644,2.91,Per
47866,9.785036,-65.072007,2.92,Car
111804,22.716704,30.221245,2.93,Peg
32682,6.832266,-50.61456,2.94,Pup
60776,12.497739,-16.515432,2.94,Crv
108728,22.096399,-0.319851,2.95,Aqr
18497,3.967157,-13.508515,2.97,Eri
26386,5.627413,21.142549,2.97,Tau
47772,9.764188,23.774255,2.97,Leo
88361,18.096803,-30.424091,2.98,Sgr
64758,13.315359,-23.171512,2.99,Hya
86804,17.793078,-40.126997,2.99,Sco
93452,19.090169,13.863478,2.99,Aql
10041,2.159058,34.987297,3,Tri
54380,11.161062,44.498487,3,UMa
74868,15.345483,71.834016,3,UMi
82263,16.864509,-38.04738,3,Sco
107742,21.898808,-37.364852,3,Gru
17316,3.715416,47.787551,3.01,Per
30049,6.338553,-30.063367,3.02,CMa
33888,7.050409,-23.833291,3.02,CMa
59134,12.168746,-22.619766,3.02,Crv
23361,5.032815,43.823308,3.03,Aur
62127,12.771346,-68.108119,3.04,Mus
70851,14.534636,38.308253,3.04,Boo
95648,19.512023,27.959681,3.05,Cyg
100020,20.350187,-14.781367,3.05,Cap
32161,6.732202,25.131124,3.06,Gem
50655,10.372155,41.499516,3.06,UMa
94081,19.209225,67.661541,3.07,Dra
89364,18.293793,-36.761686,3.1,Sgr
43689,8.92323,5.945563,3.11,Hya
52789,10.827079,-16.193648,3.11,Hya
56392,11.596363,-63.019841,3.11,Cen
101445,20.626116,-47.291502,3.11,Ind
27559,5.849329,-35.768309,3.12,Col
44000,8.986828,48.041826,3.12,UMa
82826,16.977006,-55.990141,3.12,Ara
84121,17.250531,24.839204,3.12,Her
73107,14.986025,-42.104194,3.13,Cen
45728,9.350925,34.392562,3.14,Lyn
46568,9.520371,-57.034377,3.16,Vel
84122,17.250788,36.809162,3.16,Her
31605,6.629353,-43.195934,3.17,Pup
46720,9.547715,51.6773,3.17,UMa
83638,17.146448,65.714683,3.17,Dra
91754,18.76094,-26.990778,3.17,Sgr
23712,5.10858,41.234474,3.18,Aur
71682,14.708492,-64.975138,3.18,Cir
22396,4.830669,6.961276,3.19,Ori
23630,5.091018,-22.371032,3.19,Lep
82745,16.961139,9.375033,3.19,Oph
86991,17.830965,-37.043304,3.19,Sco
104394,21.215607,30.226916,3.21,Cyg
116361,23.65582,77.632276,3.21,Cep
74912,15.356201,-40.647518,3.22,Lup
79640,16.305358,-4.692511,3.23,Oph
89684,18.355167,-2.898825,3.23,Ser
105691,21.477662,70.560716,3.23,Cep
32521,6.803194,-61.941391,3.24,Pic
99156,20.188413,-0.821461,3.24,Aql
36274,7.487179,-43.301432,3.25,Pup
68675,14.106193,-26.682361,3.25,Hya
73486,15.067839,-25.281965,3.25,Lib
92902,18.982395,32.689557,3.25,Lyr
17637,3.787295,-74.238962,3.26,Hyi
3086,0.655462,30.861024,3.27,And
84711,17.366827,-24.999545,3.27,Oph
112776,22.910837,-15.82082,3.27,Aqr
24249,5.215528,-16.205468,3.29,Lep
49958,10.228961,-70.037903,3.29,Car
75229,15.415494,58.966065,3.29,Dra
21228,4.566598,-55.044975,3.3,Dor
51428,10.533743,-61.685332,3.3,Car
29582,6.247961,22.506799,3.31,Gem
85008,17.423239,-56.377727,3.31,Ara
5154,1.101407,-46.718414,3.32,Phe
14318,3.08627,38.840274,3.32,Per
59592,12.257086,57.032617,3.32,UMa
83885,17.202552,-43.239189,3.32,Sco
87775,17.983775,-9.773632,3.32,Oph
93569,19.11567,-27.670423,3.32,Sgr
19730,4.240404,-62.473858,3.33,Ret
54718,11.237335,15.42957,3.33,Leo
38062,7.821571,-24.859786,3.34,Pup
8867,1.906584,63.670101,3.35,Cas
25218,5.407949,-2.397146,3.35,Ori
32276,6.754824,12.895591,3.35,Gem
41586,8.504431,60.718169,3.35,UMa
95207,19.424972,3.114775,3.36,Aql
75035,15.378021,-44.689622,3.37,Lup
42990,8.779587,6.418809,3.38,Hya
66040,13.57822,-0.59582,3.38,Vir
26142,5.585633,9.934158,3.39,Ori
50229,10.28472,-61.332304,3.39,Car
62890,12.926725,3.39747,3.39,Vir
109146,22.180908,58.201261,3.39,Cep
20842,4.477705,15.870883,3.4,Tau
119131,17.172783,-15.726921,3.4,Oph
6853,1.472759,-43.318234,3.41,Phe
18677,4.011338,12.490347,3.41,Tau
67251,13.825078,-41.687709,3.41,Cen
74167,15.20476,-52.099247,3.41,Lup
102091,20.754811,61.838782,3.41,Cep
111676,22.691033,10.831364,3.41,Peg
8777,1.884696,29.578829,3.42,Tri
78148,16.002036,-38.396706,3.42,Lup
86705,17.774319,27.720676,3.42,Her
102064,20.749314,-66.203212,3.42,Pav
44952,9.182804,-58.966896,3.43,Car
50193,10.278171,23.417311,3.43,Leo
93510,19.10415,-4.882554,3.43,Aql
50230,10.284952,42.914365,3.45,UMa
3814,0.81826,57.815187,3.46,Cas
5353,1.143164,-10.182264,3.46,Cet
38713,7.946313,-52.98236,3.46,Car
74438,15.258376,33.314833,3.46,Boo
12673,2.721678,3.235818,3.47,Cet
67259,13.826943,-42.473732,3.47,Cen
49441,10.122209,16.762664,3.48,Leo
81583,16.714933,38.922254,3.48,Her
8087,1.734479,-15.93748,3.49,Cet
33769,7.028652,-27.93483,3.49,CMa
55055,11.307983,33.094306,3.49,UMa
73327,15.032436,40.390566,3.49,Boo
90143,18.449561,-45.968459,3.49,Tel
112263,22.809239,-51.316864,3.49,Gru
32672,6.830683,-32.508478,3.5,CMa
35453,7.335383,21.98232,3.5,Gem
112364,22.82802,66.200408,3.5,Cep
98026,19.979285,19.492148,3.51,Sge
112389,22.833385,24.601579,3.51,Peg
17336,3.720806,-9.763395,3.52,Eri
47373,9.685843,9.892308,3.52,Leo
48635,9.947708,-54.56779,3.52,Vel
92133,18.834665,33.362667,3.52,Lyr
92793,18.962167,-21.106654,3.52,Sgr
109081,22.169996,6.197865,3.52,Peg
118838,12.694171,-1.449235,3.52,Vir
20837,4.476943,19.180431,3.53,Tau
40411,8.275256,9.185545,3.53,Cnc
56174,11.550038,-31.857625,3.54,Hya
77280,15.827002,-3.430208,3.54,Ser
85998,17.626445,-15.398557,3.54,Ser
19992,4.298237,-33.798348,3.55,Eri
27220,5.782595,-14.82195,3.55,Lep
69773,14.323396,-46.058093,3.55,Lup
89660,18.350736,72.732843,3.55,Dra
98924,20.145157,-66.182068,3.55,Pav
1559,0.323799,-8.823921,3.56,Cet
10578,2.275154,-51.512165,3.56,Eri
55118,11.322347,-14.778541,3.56,Crt
82294,16.872263,-38.017536,3.56,Sco
37633,7.740793,24.397993,3.57,Gem
44343,9.060427,47.156525,3.57,UMa
70828,14.5305,30.371437,3.57,Boo
74948,15.36344,-36.261376,3.57,Lup
35253,7.30155,16.540383,3.58,Gem
99743,20.300904,-12.544852,3.58,Cap
7593,1.633205,48.628213,3.59,And
24614,5.293442,-6.844409,3.59,Ori
27006,5.741057,-22.448382,3.59,Lep
57584,11.844922,1.764718,3.59,Vir
60075,12.356031,-60.401147,3.59,Cru
6523,1.40039,-8.183257,3.6,Cet
32932,6.879816,33.961254,3.6,Gem
42416,8.671554,-52.921887,3.6,Vel
46518,9.511674,-40.466769,3.6,Vel
76235,15.61707,-28.135079,3.6,Lib
85467,17.518318,-60.683848,3.6,Ara
13176,2.833063,27.260507,3.61,Ari
15861,3.413554,9.02887,3.61,Tau
49700,10.176467,-12.354083,3.61,Hya
63411,13.037759,-71.548855,3.61,Mus
86661,17.762221,-64.723871,3.61,Pav
7083,1.524725,15.345823,3.62,Psc
17805,3.819373,24.053415,3.62,Tau
37711,7.754249,-37.968584,3.62,Pup
82477,16.909731,-42.361313,3.62,Sco
113366,23.032017,42.325979,3.62,And
57190,11.760141,-66.728763,3.63,Mus
101442,20.625816,14.595087,3.64,Del
20155,4.329889,15.627642,3.65,Tau
46600,9.525453,63.061861,3.65,UMa
76997,15.769793,15.421826,3.65,Ser
88439,18.11052,-50.091477,3.65,Ara
110614,22.480531,-0.019972,3.65,Aqr
75466,15.463818,29.105703,3.66,CrB
76365,15.64427,-29.777754,3.66,Lib
68537,14.073165,64.37585,3.67,Dra
102895,20.913498,-58.454155,3.67,Ind
22496,4.853434,5.605104,3.68,Ori
42709,8.726539,-33.186385,3.68,Pyx
97056,19.789795,18.534286,3.68,Sge
113980,23.157443,-21.17241,3.68,Aqr
2914,0.616188,53.896909,3.69,Cas
8989,1.932564,-51.608896,3.69,Eri
23398,5.041301,41.075837,3.69,Aur
47719,9.754117,-62.507903,3.69,Car
57226,11.767515,47.779406,3.69,UMa
106642,21.668181,-16.662308,3.69,Cap
15436,3.325278,-21.757864,3.7,Eri
87661,17.962744,29.24788,3.7,Her
114609,23.286094,3.282289,3.7,Psc
22744,4.904193,2.440672,3.71,Ori
28032,5.940082,-14.1677,3.71,Lep
38304,7.870288,-40.575786,3.71,Pup
77386,15.846935,4.47773,3.71,Ser
88494,18.122496,9.563847,3.71,Oph
97725,19.921887,6.406763,3.71,Aql
16496,3.548848,-9.458262,3.72,Eri
17457,3.747927,24.113339,3.72,Tau
28287,5.992111,54.284656,3.72,Aur
103725,21.082184,43.927852,3.72,Cyg
16044,3.45282,9.73268,3.73,Tau
71994,14.770812,1.892885,3.73,Vir
87314,17.892134,56.872643,3.73,Dra
106746,21.691253,-77.390046,3.73,Oct
112601,22.87691,-7.579599,3.73,Aqr
8628,1.857676,-10.335038,3.74,Cet
79928,16.365338,19.15313,3.74,Her
104549,21.246517,38.045317,3.74,Cyg
44383,9.069248,-47.097737,3.75,Vel
86839,17.798211,2.707276,3.75,Oph
26004,5.560421,-62.489825,3.76,Dor
27585,5.855357,-20.879089,3.76,Lep
30794,6.480297,-7.033062,3.76,Mon
93388,19.07805,-21.741496,3.76,Sgr
95554,19.495098,51.729779,3.76,Cyg
110822,22.521515,50.282491,3.76,Lac
13234,2.844945,55.895496,3.77,Per
17487,3.753232,42.578549,3.77,Per
20405,4.382247,17.542514,3.77,Tau
26484,5.645769,-2.600069,3.77,Ori
41195,8.428951,-66.13689,3.77,Vol
42452,8.677103,-46.648744,3.77,Vel
82112,16.82976,-59.041378,3.77,Ara
101629,20.660635,15.912072,3.77,Del
105540,21.444452,-22.411332,3.77,Cap
108830,22.116847,25.345112,3.77,Peg
34389,7.145788,-70.498932,3.78,Vol
35946,7.428779,27.79808,3.78,Gem
48182,9.849867,59.038735,3.78,UMa
53099,10.891559,-58.853171,3.78,Car
71569,14.68582,13.7283,3.78,Boo
102287,20.794598,-9.495776,3.78,Aqr
14632,3.158258,44.857544,3.79,Per
53075,10.888526,34.214871,3.79,LMi
14843,3.201249,-28.987618,3.8,For
37124,7.647186,-26.803836,3.8,Pup
76044,15.580041,10.538867,3.8,Ser
94484,19.28504,53.368459,3.8,Cyg
99356,20.227196,46.741329,3.8,Cyg
21340,4.592512,-30.562341,3.81,Eri
51087,10.464649,-58.739403,3.81,Car
76716,15.712381,26.295637,3.81,CrB
116218,23.626056,46.458152,3.81,And
9467,2.034117,2.763759,3.82,Psc
45557,9.314069,36.802597,3.82,Lyn
56044,11.523407,69.331076,3.82,Dra
80637,16.515229,1.983923,3.82,Oph
86148,17.657747,46.006332,3.82,Her
50924,10.434842,-16.83629,3.83,Hya
68027,13.971186,-42.100753,3.83,Cen
72144,14.797701,-79.044751,3.83,Aps
17398,3.736593,-64.806903,3.84,Ret
17406,3.738648,32.288248,3.84,Per
20833,4.476248,15.962181,3.84,Tau
43659,8.917457,-60.644609,3.84,Car
51475,10.546853,9.306586,3.84,Leo
51837,10.621717,-48.22562,3.84,Vel
61008,12.541134,-72.132988,3.84,Mus
88517,18.125708,28.762488,3.84,Her
89064,18.229392,-21.058834,3.84,Sgr
97124,19.80285,70.26793,3.84,Dra
19697,4.233363,-42.294368,3.85,Hor
27253,5.788079,-51.066514,3.85,Pic
30204,6.368564,-33.4364,3.85,Col
50050,10.245607,-42.121942,3.85,Vel
61088,12.558058,69.788238,3.85,Dra
61429,12.628394,-48.541304,3.85,Cen
77836,15.940882,15.661617,3.85,Ser
89860,18.394967,21.769752,3.85,Her
90835,18.586785,-8.244073,3.85,Sct
4426,0.945885,38.499345,3.86,And
21541,4.63634,-14.30402,3.86,Eri
25794,5.520209,-35.470519,3.86,Col
79423,16.257297,-63.685682,3.86,TrA
80819,16.557609,-78.897148,3.86,Aps
87537,17.93755,37.250539,3.86,Her
110049,22.360938,-1.387331,3.86,Aqr
17532,3.763779,24.367748,3.87,Tau
42904,8.767124,-46.041527,3.87,Vel
68064,13.977987,-44.803584,3.87,Cen
71731,14.717673,-5.658207,3.87,Vir
77868,15.948077,-29.214073,3.87,Sco
97493,19.874547,1.005661,3.87,Aql
763,0.156836,-45.747426,3.88,Phe
8813,1.89217,19.293852,3.88,Ari
48318,9.879398,26.006951,3.88,Leo
74148,15.198918,-48.737819,3.88,Lup
114059,23.17264,-45.246711,3.88,Gru
13667,2.940458,-8.898144,3.89,Eri
33065,6.902209,-24.184211,3.89,CMa
45204,9.239405,2.31428,3.89,Hya
59945,12.331766,-0.666803,3.89,Vir
97799,19.938438,35.083424,3.89,Cyg
47297,9.664267,-1.14281,3.9,Hya
55260,11.350117,-54.491019,3.9,Cen
65729,13.517405,-39.407307,3.9,Cen
18860,4.052606,5.989305,3.91,Tau
41190,8.427676,-3.906424,3.91,Hya
60635,12.467331,-50.230635,3.91,Cen
73579,15.085303,-47.051245,3.91,Lup
76100,15.592105,-14.789537,3.91,Lib
79750,16.329011,46.313366,3.91,Her
82952,17.004827,30.926405,3.92,Her
94873,19.361211,-17.847197,3.92,Sgr
104649,21.263731,5.247845,3.92,Equ
2069,0.436716,-43.679829,3.93,Phe
7068,1.520851,-49.072702,3.93,Phe
13497,2.904295,52.762479,3.93,Per
21391,4.605317,-3.352459,3.93,Eri
37397,7.697004,-72.606098,3.93,Vol
54304,11.143165,-58.975037,3.93,Car
78693,16.113452,-20.669192,3.93,Sco
87920,18.010754,2.931568,3.93,Oph
5337,1.139742,-55.24576,3.94,Phe
37340,7.687454,-9.551131,3.94,Mon
37570,7.73013,-28.954826,3.94,Pup
42792,8.74475,18.154309,3.94,Cnc
103081,20.952893,41.167136,3.94,Cyg
9577,2.057268,72.421294,3.95,Cas
31512,6.611399,-19.255879,3.95,CMa
118887,13.398996,54.920471,3.95,UMa
19296,4.144357,47.712513,3.96,Per
28256,5.985778,-42.815135,3.96,Col
44120,9.010685,41.782911,3.96,Lyn
44972,9.187985,-62.316977,3.96,Car
94946,19.377303,-44.458965,3.96,Sgr
95052,19.398103,-40.61594,3.96,Sgr
99529,20.257867,47.714208,3.96,Cyg
115073,23.382842,-20.10058,3.96,Aqr
20483,4.400613,-34.016846,3.97,Eri
27604,5.858166,39.14848,3.97,Aur
35132,7.280508,-67.957152,3.97,Vol
42396,8.668373,-35.308352,3.97,Pyx
59267,12.194202,-52.36846,3.97,Cen
77398,15.849316,-33.627165,3.97,Lup
98184,20.009845,-72.910504,3.97,Pav
110650,22.487825,-43.495565,3.97,Gru
112084,22.775521,23.565654,3.97,Peg
18567,3.98275,35.791033,3.98,Per
106139,21.56635,45.591837,3.98,Cyg
9328,2.000084,-21.077831,3.99,Cet
29578,6.247592,-6.274776,3.99,Mon
50809,10.406592,-74.031612,3.99,Car
65272,13.420413,54.987958,3.99,UMa
114634,23.290498,-58.235734,3.99,Tuc
44254,9.040777,-66.396076,4,Vol
55476,11.398736,10.529509,4,Leo
79134,16.199926,-19.460708,4,Sco
8053,1.727675,50.688732,4.01,Per
22056,4.758375,-3.254657,4.01,Eri
34000,7.068481,20.570297,4.01,Gem
34943,7.246849,-26.772667,4.01,CMa
71639,14.699332,-37.793498,4.01,Cen
78290,16.031532,58.565251,4.01,Dra
79759,16.330687,-50.155508,4.01,Nor
91507,18.71726,-71.428113,4.01,Pav
100750,20.489926,30.368555,4.01,Cyg
43286,8.842204,-27.709844,4.02,Pyx
59020,12.140225,-24.728875,4.02,Crv
92951,18.993711,15.068298,4.02,Aql
93136,19.028008,-5.739115,4.02,Aql
10645,2.288573,33.847194,4.03,Tri
23467,5.05697,60.442245,4.03,Cam
42984,8.778284,28.759898,4.03,Cnc
62803,12.9099,-57.177924,4.03,Cru
88327,18.090913,2.500099,4.03,Oph
101095,20.553547,11.303263,4.03,Del
117900,23.988525,6.863321,4.03,Psc
19538,4.197761,-6.837581,4.04,Eri
57208,11.764322,6.529376,4.04,Vir
70274,14.419967,51.850744,4.04,Boo
111147,22.589272,-0.117498,4.04,Aqr
14596,3.151005,49.613278,4.05,Per
40587,8.308703,-76.919722,4.05,Cha
42765,8.739987,-42.649276,4.05,Vel
55269,11.352276,6.029322,4.05,Leo
67246,13.824623,15.797905,4.05,Boo
69867,14.342623,-37.885295,4.05,Cen
71310,14.631454,-49.425828,4.05,Lup
112357,22.826528,-13.592632,4.05,Aqr
22904,4.939521,13.514466,4.06,Ori
36856,7.598708,26.895741,4.06,Gem
55539,11.414702,-17.68401,4.06,Crt
59746,12.292917,-67.960736,4.06,Mus
59826,12.307298,-64.003071,4.06,Cru
71783,14.727624,-35.173655,4.06,Cen
82898,16.993069,-53.160438,4.06,Ara
69479,14.266908,-6.000547,4.07,Vir
73889,15.147394,-45.279857,4.07,Lup
74595,15.291917,-58.801208,4.07,Cir
110645,22.486183,58.415198,4.07,Cep
3685,0.788981,24.267178,4.08,And
10975,2.362498,-68.659418,4.08,Hyi
12355,2.658044,0.328511,4.08,Cet
14112,3.039863,-23.624472,4.08,Eri
33073,6.903167,-12.038628,4.08,CMa
46841,9.574071,-59.229753,4.08,Car
53584,10.996244,-18.298783,4.08,Crt
92571,18.922249,43.946088,4.08,Lyr
103804,21.099118,-17.232861,4.08,Cap
105162,21.36811,19.804508,4.08,Peg
26301,5.615108,9.290673,4.09,Ori
77214,15.812327,18.141564,4.09,Ser
7499,1.613299,41.405459,4.1,And
12744,2.736634,49.228448,4.1,Per
38057,7.820638,-46.373205,4.1,Pup
90288,18.480505,-49.070588,4.1,Tel
93865,19.167154,-39.340796,4.1,CrA
12452,2.677781,-39.855375,4.11,Eri
33956,7.062637,-15.633286,4.11,CMa
42193,8.627399,-42.989081,4.11,Vel
48219,9.85797,-14.846603,4.11,Hya
51690,10.591166,-78.607786,4.11,Cha
57266,11.775232,-61.178398,4.11,Cen
76206,15.612,-66.317037,4.11,TrA
93819,19.157869,-37.904474,4.11,CrA
113278,23.014677,-52.754137,4.11,Gru
12360,2.659799,-68.266946,4.12,Hyi
19762,4.248295,48.409331,4.12,Per
28543,6.039722,9.647276,4.12,Ori
58773,12.086817,8.732985,4.12,Vir
97721,19.921026,-41.868288,4.12,Sgr
102647,20.863692,-26.919133,4.12,Cap
110696,22.495955,-43.749224,4.12,Gru
25184,5.399119,-7.808065,4.13,Ori
30810,6.482719,20.212133,4.13,Gem
77617,15.897093,-16.729293,4.13,Lib
102154,20.76826,-25.270898,4.13,Cap
112050,22.767692,-81.381615,4.13,Oct
116405,23.665844,5.626292,4.13,Psc
16328,3.514549,12.936678,4.14,Tau
17566,3.772104,23.948358,4.14,Tau
42195,8.627602,5.703782,4.14,Hya
58895,12.114687,-64.61373,4.14,Cru
75895,15.548829,31.359133,4.14,CrB
77923,15.959794,26.87788,4.14,CrB
107011,21.744092,25.645036,4.14,Peg
109591,22.26616,37.748737,4.14,Lac
34677,7.197739,-0.492764,4.15,Mon
84853,17.394708,37.145946,4.15,Her
116439,23.673469,44.333932,4.15,And
28664,6.068671,23.263341,4.16,Gem
36263,7.485195,31.78455,4.16,Gem
85081,17.439504,-24.175309,4.16,Oph
2592,0.549997,62.931783,4.17,Cas
17833,3.824237,-36.20025,4.17,Eri
109657,22.280565,-7.78329,4.17,Aqr
69205,14.214929,-10.273702,4.18,Vir
69510,14.273074,46.088305,4.18,Boo
81058,16.606242,-35.255326,4.18,Sco
109511,22.250544,57.043587,4.18,Cep
111601,22.677594,-27.043617,4.18,PsA
67244,13.824091,-34.450776,4.19,Cen
91756,18.761035,20.546308,4.19,Her
25749,5.51307,5.948139,4.2,Ori
38721,7.94765,-22.880119,4.2,Pup
51089,10.464727,36.707212,4.2,LMi
80880,16.568384,42.437041,4.2,Her
112090,22.778216,12.172888,4.2,Peg
112886,22.932472,-32.539628,4.2,PsA
16187,3.484482,59.94033,4.21,Cam
20583,4.422822,22.293874,4.21,Tau
81830,16.766159,82.037262,4.21,UMi
100767,20.493015,62.994105,4.21,Cep
105519,21.440705,-65.366198,4.21,Pav
13221,2.843063,38.318644,4.22,Per
17609,3.780804,-23.249723,4.22,Eri
38406,7.888378,-48.102934,4.22,Pup
78678,16.109874,-36.802288,4.22,Lup
80327,16.450399,-18.456251,4.22,Oph
89630,18.345955,71.337814,4.22,Dra
91888,18.786242,-4.747867,4.22,Sct
92319,18.870288,-62.187593,4.22,Pav
92502,18.908412,36.898613,4.22,Lyr
102122,20.761043,30.719715,4.22,Cyg
